Identifiant station,Nom station,Station en fonctionnement,Capacité de la station,Nombre bornettes libres,Nombre total vélos disponibles,Vélos mécaniques disponibles,Vélos électriques disponibles,Borne de paiement disponible,Retour vélib possible,Actualisation de la donnée,Coordonnées géographiques,Nom communes équipées,ville,tmp,wnd_spd,wnd_gust,wnd_dir,pressure,humidity,condition,Correction
11011,Richard Lenoir - Voltaire,OUI,25,4,20,20,0,OUI,OUI,2022-09-29 04:42:13,"48.86164273878,2.3727491497993",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
16105,Crevaux - Bugeaud,OUI,31,24,5,3,2,OUI,OUI,2022-09-29 04:42:13,"48.870809428669546,2.281149007691853",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
5022,Boulangers - Cardinal Lemoine,OUI,20,17,3,2,1,OUI,OUI,2022-09-29 04:42:13,"48.8462904,2.3521495",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
18201,Tristan Tzara -  Tchaïkovski,OUI,33,11,21,7,14,OUI,OUI,2022-09-29 04:42:13,"48.89490221746837,2.3648490384221077",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
5002,Sommerard - Saint-Jacques,OUI,34,30,2,1,1,OUI,OUI,2022-09-29 04:42:13,"48.850310432924466,2.345015835298588",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
2001,Greneta - Sebastopol,OUI,32,27,3,1,2,OUI,OUI,2022-09-29 04:42:12,"48.865242333228,2.3516669869423",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
17004,Legendre - Clichy,OUI,40,1,36,28,8,OUI,OUI,2022-09-29 04:42:12,"48.88896161855884,2.322528975094376",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
17016,Brochant - Square des Batignolles,OUI,31,27,4,3,1,OUI,OUI,2022-09-29 04:42:12,"48.88818698581028,2.316861143151153",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
15105,Fédération - Suffren,OUI,25,2,22,17,5,OUI,OUI,2022-09-29 04:42:11,"48.852828153442346,2.2978776320815086",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
15123,Commerce - Letellier,OUI,44,38,6,5,1,OUI,OUI,2022-09-29 04:42:11,"48.84797660373612,2.2966245196598805",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
19128,Quai de l'Oise - Aisne,OUI,30,8,17,7,10,OUI,OUI,2022-09-29 04:42:11,"48.8906231,2.3833701",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
9028,Moncey - Blanche,OUI,17,14,3,1,2,OUI,OUI,2022-09-29 04:42:11,"48.88006587474148,2.3310810327529907",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
15043,Brancion - Lefebvre,OUI,11,3,8,1,7,OUI,OUI,2022-09-29 04:42:10,"48.82900222785569,2.301431038163409",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
20117,Saint-Fargeau - Mortier,OUI,33,27,5,0,5,OUI,OUI,2022-09-29 04:42:09,"48.87266656122256,2.407912909984589",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
15035,Place Etienne Pernet,OUI,43,11,30,28,2,OUI,OUI,2022-09-29 04:42:09,"48.84243457133779,2.2921819612383847",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
11024,Mairie du 11ème,OUI,51,2,44,43,1,OUI,OUI,2022-09-29 04:42:08,"48.858925,2.3789759",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
10019,Paradis - Hauteville,OUI,31,24,5,3,2,OUI,OUI,2022-09-29 04:42:08,"48.874999954666755,2.3522757401923404",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
13113,Vistule - Choisy,OUI,33,23,9,4,5,OUI,OUI,2022-09-29 04:42:08,"48.82365543660611,2.3615723848342896",Paris,Paris,10,6,0,O,995.7,78,Nuit nuageuse,Non
